file,input.class,prediction,Correct.prediction,percentage
airport_118_2_msrgb.jpg,airport,airport,1,0.20484558
airport_118_5_msrgb.jpg,airport,port,0,0.27002504
airport_118_7_msrgb.jpg,airport,airport,1,0.22262383
airport_139_1_msrgb.jpg,airport,nuclear_powerplant,0,0.6326175
airport_166_8_msrgb.jpg,airport,port,0,0.20356935
airport_199_7_msrgb.jpg,airport,nuclear_powerplant,0,0.18828876
airport_211_1_msrgb.jpg,airport,runway,0,0.46345618
airport_299_2_msrgb.jpg,airport,airport,1,0.13449402
airport_30_6_msrgb.jpg,airport,nuclear_powerplant,0,0.46110934
airport_312_0_msrgb.jpg,airport,shipyard,0,0.21847837
airport_319_0_msrgb.jpg,airport,nuclear_powerplant,0,0.22273207
airport_407_0_msrgb.jpg,airport,amusement_park,0,0.23904055
airport_40_5_msrgb.jpg,airport,runway,0,0.5483996
airport_431_0_msrgb.jpg,airport,runway,0,0.34368312
airport_7_8_msrgb.jpg,airport,nuclear_powerplant,0,0.49274307
airport_hangar_1117_1_msrgb.jpg,airport_hangar,solar_farm,0,0.05787438
airport_hangar_137_0_msrgb.jpg,airport_hangar,aquaculture,0,0.062086247
airport_hangar_146_0_msrgb.jpg,airport_hangar,solar_farm,0,0.15144451
airport_hangar_147_0_msrgb.jpg,airport_hangar,airport_hangar,1,0.13903558
airport_hangar_300_6_msrgb.jpg,airport_hangar,oil_or_gas_facility,0,0.19451249
airport_hangar_310_4_msrgb.jpg,airport_hangar,helipad,0,0.07465612
airport_hangar_344_1_msrgb.jpg,airport_hangar,oil_or_gas_facility,0,0.06430016
airport_hangar_398_6_msrgb.jpg,airport_hangar,road_bridge,0,0.08114096
airport_hangar_404_7_msrgb.jpg,airport_hangar,airport_hangar,1,0.131926
airport_hangar_405_8_msrgb.jpg,airport_hangar,airport_hangar,1,0.088849545
airport_hangar_432_7_msrgb.jpg,airport_hangar,airport_hangar,1,0.10900464
airport_hangar_487_1_msrgb.jpg,airport_hangar,office_building,0,0.07167059
airport_hangar_549_9_msrgb.jpg,airport_hangar,road_bridge,0,0.062690236
airport_hangar_573_0_msrgb.jpg,airport_hangar,smokestack,0,0.047536064
airport_hangar_850_1_msrgb.jpg,airport_hangar,prison,0,0.1035005
airport_terminal_1068_0_msrgb.jpg,airport_terminal,impoverished_settlement,0,0.2835078
airport_terminal_122_2_msrgb.jpg,airport_terminal,nuclear_powerplant,0,0.08585327
airport_terminal_197_2_msrgb.jpg,airport_terminal,smokestack,0,0.05502992
airport_terminal_215_6_msrgb.jpg,airport_terminal,race_track,0,0.06697514
airport_terminal_25_1_msrgb.jpg,airport_terminal,shopping_mall,0,0.069307454
airport_terminal_318_2_msrgb.jpg,airport_terminal,single-unit_residential,0,0.039795242
airport_terminal_414_3_msrgb.jpg,airport_terminal,airport_terminal,1,0.10832541
airport_terminal_439_3_msrgb.jpg,airport_terminal,single-unit_residential,0,0.058724422
airport_terminal_522_5_msrgb.jpg,airport_terminal,race_track,0,0.06465088
airport_terminal_532_4_msrgb.jpg,airport_terminal,oil_or_gas_facility,0,0.08764326
airport_terminal_546_0_msrgb.jpg,airport_terminal,debris_or_rubble,0,0.06845383
airport_terminal_680_0_msrgb.jpg,airport_terminal,airport_hangar,0,0.12709458
airport_terminal_761_3_msrgb.jpg,airport_terminal,interchange,0,0.17434336
airport_terminal_857_5_msrgb.jpg,airport_terminal,nuclear_powerplant,0,0.089785144
airport_terminal_8_5_msrgb.jpg,airport_terminal,wind_farm,0,0.13068482
amusement_park_1017_0_msrgb.jpg,amusement_park,amusement_park,1,0.23590104
amusement_park_1127_5_msrgb.jpg,amusement_park,shipyard,0,0.10825995
amusement_park_1138_5_msrgb.jpg,amusement_park,shipyard,0,0.12654541
amusement_park_1211_3_msrgb.jpg,amusement_park,shipyard,0,0.2518929
amusement_park_140_8_msrgb.jpg,amusement_park,shipyard,0,0.27073336
amusement_park_178_6_msrgb.jpg,amusement_park,amusement_park,1,0.11909761
amusement_park_311_0_msrgb.jpg,amusement_park,amusement_park,1,0.19730034
